Methodname	Attribute
onFocus	onfocus
onBlur	onblur
onFocusIn	onfocusin
onFocusOut	onfocusout
onMouseOver	onmouseover
onMouseOut	onmouseout
onMouseMove	onmousemove
onMouseDown	onmousedown
onMouseUp	onmouseup
onClick	onclick
onDblClick	ondblclick
onWheel	onwheel
onMouseWheel	onmousewheel
onContextMenu	oncontextmenu
onDrag	ondrag
onDragEnd	ondragend
onDragEnter	ondragenter
onDragLeave	ondragleave
onDragOver	ondragover
onDragStart	ondragstart
onDrop	ondrop
onKeyDown	onkeydown
onKeyUp	onkeyup
onKeyPress	onkeypress
onChange	onchange
onInput	oninput
onInvalid	oninvalid
onReset	onreset
onSelect	onselect
onSelectStart	onselectstart
onSelectionChange	onselectionchange
onSubmit	onsubmit
onBeforeCopy	onbeforecopy
onBeforeCut	onbeforecut
onBeforePaste	onbeforepaste
onCopy	onCopy
onCut	onCut
onPaste	onPaste
onTouchCancel	ontouchcancel
onTouchEnd	ontouchend
onTouchMove	ontouchmove
onTouchStart	ontouchstart
onTouchEnter	ontouchenter
onTouchLeave	ontouchleave
onGotPointerCapture	ongotpointercapture
onLostPointerCapture	onlostpointercapture
onPointerCancel	onpointercancel
onPointerDown	onpointerdown
onPointerEnter	onpointerenter
onPointerLeave	onpointerleave
onPointerMove	onpointermove
onPointerOut	onpointerout
onPointerOver	onpointerover
onPointerUp	onpointerup
onCanPlay	oncanplay
onCanPlayThrough	oncanplaythrough
onCueChange	oncuechange
onDurationChange	ondurationchange
onEmptied	onemptied
onPause	onpause
onPlay	onplay
onPlaying	onplaying
onRateChange	onratechange
onSeeked	onseeked
onSeeking	onseeking
onStalled	onstalled
onStop	onstop
onSuspend	onsuspend
onTimeUpdate	ontimeupdate
onVolumeChange	onvolumechange
onWaiting	onwaiting
onLoadStart	onloadstart
onTimeout	ontimeout
onAbort	onabort
onLoad	onload
onLoadend	onloadend
onProgress	onprogress
onError	onerror
onActivate	onactivate
onBeforeAtivate	onbeforeactivate
onBeforeDeactivate	onbeforedeactivate
onDeactivate	ondeactivate
onEnded	onended
onFullScreenChange	onfullscreenchange
onFullScreenError	onfullscreenerror
onLoadedData	onloadeddata
onLoadedMetadata	onloadedmetadata
onPointerLockChange	onpointerlockchange
onPointerLockError	onpointerlockerror
onReadyStateChange	onreadystatechange
onScroll	onscroll
onToggle	ontoggle
